,Hanzi,Meaning,Reading,Color,Mean Word,Sound,Traditional,Silhouette
0,滑稽,funny (w/ h)<br>comical<br>amusing,<span class = 'tone2'>huá</span><span class = 'tone1'>jī</span>,滑稽,,,,
1,不禁,"""can't help (doing something)""",<span class = 'tone4'>bù</span><span class = 'tone1'>jīn</span>,不禁,,,,_ _
2,湖面,surface of a lake,<span class = 'tone2'>hú</span><span class = 'tone4'>miàn</span>,湖面,,,,
3,打翻,to knock over<br>to overturn<br>to overthrow,<span class = 'tone3'>dǎ</span><span class = 'tone1'>fān</span>,打翻,,,,_ _
4,友谊,friendship<br>companionship,<span class = 'tone3'>yǒu</span><span class = 'tone4'>yì</span>,友谊,,,,
5,核心,core<br>nucleus,<span class = 'tone2'>hé</span><span class = 'tone1'>xīn</span>,核心,,,,
6,精通,to master<br>to be proficient in<br>to be well-versed in,"<span class = 'tone5'>""</span><span class = 'tone1'>jīngtōng </span><span class = 'tone5'>""</span>","""<span class=""""tone1"""">精</span><span class=""""tone1"""">通</span>""",,[sound:精通_google_zh-CN.mp3],,_ _
7,今晚,tonight,<span class = 'tone1'>jīn</span><span class = 'tone3'>wǎn</span>,今晚,,,,
8,整齐,orderly (w/ zh)<br>neat<br>tidy,<span class = 'tone3'>zhěng</span><span class = 'tone2'>qí</span>,整齐,,,,_ _
9,伟大,huge (w/ w)<br>great (important),<span class = 'tone3'>wěi</span><span class = 'tone4'>dà</span>,伟大,,,,
10,辞掉,"""to quit (one's job)<br>to dismiss (an employee)<br>""","<span class = 'tone5'>""</span><span class = 'tone2'>cí</span><span class = 'tone4'>diào </span><span class = 'tone5'>""</span>","""<span class=""""tone2"""">辞</span><span class=""""tone4"""">掉</span>""",,[sound:辞掉_google_zh-CN.mp3],辭掉,_ _
11,最后两个字,the last two characters,<span class = 'tone4'>zuìhòu </span><span class = 'tone3'>liǎng </span><span class = 'tone4'>gè zì</span>,最后两个字,,,,
12,A是B的核心,A is central to B,<span class = 'tone5'>A </span><span class = 'tone4'>shì </span><span class = 'tone5'>B de </span><span class = 'tone2'>hé</span><span class = 'tone1'>xīn</span>,A是B的核心,,,,
13,烫,to scald/to burn,<span class = 'tone4'>tàng</span>,烫,,,,
14,难道,could it be that...,<span class = 'tone2'>nán</span><span class = 'tone4'>dào</span>,难道,,,,
15,顿,meal (measure word),<span class = 'tone4'>dùn</span>,顿,,,,
16,朵,measure word for flowers,<span class = 'tone3'>duǒ</span>,朵,,,,
17,份,measure word for parts<br>measure word for gifts,<span class = 'tone4'>fèn</span>,份,,,,
18,之,of (formal),<span class = 'tone1'>zhī</span>,之,,,,
19,向周围看,to look around,<span class = 'tone4'>xiàng </span><span class = 'tone1'>zhōu</span><span class = 'tone2'>wéi </span><span class = 'tone4'>kàn</span>,向周围看,,,,_ _ _ _
20,占空间,to take up space,"<span class = 'tone5'>""</span><span class = 'tone4'>zhàn </span><span class = 'tone1'>kōngjiān </span><span class = 'tone5'>""</span>","""<span class=""""tone4"""">占</span><span class=""""tone1"""">空</span><span class=""""tone1"""">间</span>""",,[sound:占空间_google_zh-CN.mp3],占空間,_ _ _
21,贵重,precious (w/ g)<br>valuable,<span class = 'tone4'>guìzhòng</span>,贵重,,,,_ _
22,侮辱,insult<br>to insult<br>humiliation,<span class = 'tone3'>wǔrǔ</span>,侮辱,,,,
23,从头到尾,from beginning to end<br>from head to tail,<span class = 'tone2'>cóngtóu </span><span class = 'tone4'>dào </span><span class = 'tone3'>wěi</span>,从头到尾,,,,
24,玫瑰花,rose,<span class = 'tone2'>méi</span><span class = 'tone5'>gui </span><span class = 'tone1'>huā</span>,玫瑰花,朵,,,
25,承诺,promise<br>to promise,<span class = 'tone2'>chéng</span><span class = 'tone4'>nuò</span>,承诺,,,,
26,挥手,"""to wave one's hand""","<span class = 'tone5'>""</span><span class = 'tone1'>huī</span><span class = 'tone3'>shǒu </span><span class = 'tone5'>""</span>","""<span class=""""tone1"""">挥</span><span class=""""tone3"""">手</span>""",,[sound:挥手_google_zh-CN.mp3],揮手,_ _
27,言论,views (not kanfa)<br>expressions of opinion,"<span class = 'tone5'>""</span><span class = 'tone2'>yán</span><span class = 'tone4'>lùn </span><span class = 'tone5'>""</span>","""<span class=""""tone2"""">言</span><span class=""""tone4"""">论</span>""",,[sound:言论_google_zh-CN.mp3],言論,_ _
28,靠得住,reliable<br>can be counted on,<span class = 'tone4'>kào </span><span class = 'tone5'>de </span><span class = 'tone4'>zhù</span>,靠得住,,,,_ 得 _
29,靠不住,"""unreliable<br>can't be counted on (RC)""",<span class = 'tone4'>kàobùzhù</span>,靠不住,,,,
30,岸,bank<br>shore<br>coast,<span class = 'tone4'>àn</span>,岸,,,,_
31,棒子,stick<br>club<br>cudgel,<span class = 'tone4'>bàng</span><span class = 'tone5'>zi</span>,棒子,,,,_ _
32,傍晚,early evening,<span class = 'tone4'>bàng</span><span class = 'tone3'>wǎn</span>,傍晚,,,,
33,包裹,package (as in - mailed),<span class = 'tone1'>bāo</span><span class = 'tone3'>guǒ</span>,包裹,,,,
34,馅,stuffing/filling (of food),<span class = 'tone4'>xiàn</span>,馅,,,,
35,宝贝,tresure<br>prized possesion<br>baby/darling,<span class = 'tone3'>bǎo</span><span class = 'tone4'>bèi</span>,宝贝,,,,
36,纯,pure<br>simple<br>plain<br>unmixed,<span class = 'tone2'>chún</span>,纯,,,,_
37,叠,to fold,"<span class = 'tone5'>""</span><span class = 'tone2'>dié </span><span class = 'tone5'>""</span>","""<span class=""""tone2"""">叠</span>""",,[sound:叠_google_zh-CN.mp3],曡,_
38,疝气,hernia,<span class = 'tone4'>shànqì</span>,疝气,,,,
39,切口,incision<br>slit,<span class = 'tone1'>qiē</span><span class = 'tone3'>kǒu</span>,切口,,,,
40,银行家,banker (occupation),<span class = 'tone2'>yínháng </span><span class = 'tone1'>jiā</span>,银行家,,,,
41,教师,teacher (w/ j),"<span class = 'tone5'>""</span><span class = 'tone4'>jiào</span><span class = 'tone1'>shī </span><span class = 'tone5'>""</span>","""<span class=""""tone4"""">教</span><span class=""""tone1"""">师</span>""",,[sound:教师_google_zh-CN.mp3],教師,_ _
42,不现实,unrealistic,<span class = 'tone4'>bù xiàn</span><span class = 'tone2'>shí</span>,不现实,,,,
43,被迫,to be forced (passive),"<span class = 'tone5'>""</span><span class = 'tone4'>bèipò </span><span class = 'tone5'>""</span>","""<span class=""""tone4"""">被</span><span class=""""tone4"""">迫</span>""",,[sound:被迫_google_zh-CN.mp3],,_ _
44,偶像,idol,"<span class = 'tone5'>""</span><span class = 'tone3'>ǒu</span><span class = 'tone4'>xiàng </span><span class = 'tone5'>""</span>","""<span class=""""tone3"""">偶</span><span class=""""tone4"""">像</span>""",,[sound:偶像_google_zh-CN.mp3],,_ _
45,平面设计,graphic design,<span class = 'tone2'>píng</span><span class = 'tone4'>miàn shèjì</span>,平面设计,,,,
46,天敌,predator<br>natural enemy,<span class = 'tone1'>tiān</span><span class = 'tone2'>dí</span>,天敌,,,,
47,远程,remote (adj.)<br>long-distance,<span class = 'tone3'>yuǎn</span><span class = 'tone2'>chéng</span>,远程,,,,
48,私教,personal tutor<br>personal trainer,<span class = 'tone1'>sī</span><span class = 'tone4'>jiào</span>,私教,,,,
49,本质,nature/essence,<span class = 'tone3'>běn</span><span class = 'tone4'>zhì</span>,本质,,,,
50,比例,"scale (of a map, etc)",<span class = 'tone3'>bǐ</span><span class = 'tone4'>lì</span>,比例,,,,
51,禁令,ban<br>prohibition,<span class = 'tone4'>jìnlìng</span><span class = 'tone5'>.</span>,禁令,,,,
52,放鞭炮,to set off firecrackers,<span class = 'tone4'>fàng </span><span class = 'tone1'>biān</span><span class = 'tone4'>pào</span>,放鞭炮,,,,
53,标点,punctuation,<span class = 'tone1'>biāo</span><span class = 'tone3'>diǎn</span>,标点,,,,
54,标题,heading<br>headline,<span class = 'tone1'>biāo</span><span class = 'tone2'>tí</span>,标题,,,,
55,相对于。。。,as opposed to,<span class = 'tone1'>xiāng</span><span class = 'tone4'>duì </span><span class = 'tone2'>yú</span><span class = 'tone5'>...</span>,相对于。。。,,,,
56,服刑,to serve a prison sentence,<span class = 'tone2'>fúxíng</span>,服刑,,,,
57,服刑十年,to serve 10 years (in prison),<span class = 'tone2'>fúxíng shí nián</span>,服刑十年,,,,
58,获释,"to be freed (from prison, hostage situation, etc.)",<span class = 'tone4'>huòshì</span>,获释,,,,
59,监狱,prison,"<span class = 'tone5'>""</span><span class = 'tone1'>jiān</span><span class = 'tone4'>yù </span><span class = 'tone5'>""</span>","""<span class=""""tone1"""">监</span><span class=""""tone4"""">狱</span>""",,[sound:监狱_google_zh-CN.mp3],監獄,_ _
